Date    New Leads    Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not a Good Time    Site Visit Booked    Not Ready for Site Visit    Not Ready to Proceed w. Job    Rough Figures Sent    Passed Onto Jake    Verbal Confirm.    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    DQ - Out of Service Area    DQ - Price    DQ - Extent of Works    DQ - Wrong Contact / Spam    DQ - Lead Looking for Work
Tuesday, 16 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 16 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 17 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 18 September 2025    11    0    0    8    3    11    1    4    1    0    0    0    0    0    0    0    0    1    0    0    2    0    0
Friday, 19 September 2025    1    0    0    1    0    1    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Saturday, 20 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Sunday, 21 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 22 September 2025    4    0    0    1    3    4    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 23 September 2025    3    5    0    3    5    8    0    1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 24 September 2025    4    1    0    1    4    5    0    0    0    0    0    0    0    0    0    1    1    0    0    0    0    0    0
Thursday, 25 September 2025    1    3    0    1    3    4    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 26 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Saturday, 27 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Sunday, 28 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 29 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 30 September 2025    1    0    0    1    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 1 October 2025    12    0    0    8    5    13    0    0    1    0    2    0    0    0    0    1    0    0    0    0    5    0    0
Thursday, 2 October 2025    4    0    0    1    3    4    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 3 October 2025    14    0    0    7    7    14    0    1    0    0    3    0    0    0    0    0    0    0    3    0    4    0    0
Monday, 6 October 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 7 October 2025    5    0    0    3    2    5    0    3    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0
Wednesday, 8 October 2025    2    0    3    4    1    5    0    1    0    1    0    0    0    0    1    0    0    0    0    0    0    0    0
Thursday, 9 October 2025    0    1    0    1    0    1    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0
Friday, 10 October 2025    3    6    1    5    5    10    0    1    1    1    0    0    0    0    0    0    0    0    0    0    2    0    0
Monday, 13 October 2025    5    7    1    9    4    13    0    1    1    1    1    0    0    0    0    0    1    0    2    0    3    0    0
Tuesday, 14 October 2025    9    9    2    4    15    19    0    3    0    0    0    0    1    0    0    1    3    0    0    0    1    1    0
Wednesday, 15 October 2025    1    10    1    4    8    12    0    3    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0
Thursday, 16 October 2025    6    6    1    6    7    13    0    3    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 17 October 2025    1    7    0    2    6    8    0    1    1    0    0    0    0    0    0    0    2    0    0    0    0    0    0
Monday, 20 October 2025    2    1    0    1    2    3    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 21 October 2025    2    0    0    2    0    2    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 22 October 2025    10    0    0    6    4    10    0    2    0    0    3    0    0    0    0    0    0    0    2    0    1    0    0
Thursday, 23 October 2025    0    5    1    1    5    6    0    0    0    0    0    0    0    1    0    0    1    0    0    0    0    0    0
Friday, 24 October 2025    4    2    0    1    5    6    0    0    1    0    0    0    0    0    0    0    0    0    1    0    0    0    0
Monday, 27 October 2025    0    3    2    1    4    5    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
