Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam    Won Jobs            
Monday, 23 June 2025    9    9    23    29    12    41    13    1    5        2                6                                            
Tuesday, 24 June 2025    3    9    4    8    8    16    4    2    1    0    0                0    2                                        
Wednesday, 25 June 2025    2    6    1    6    3    9    4    0    1    0    0                1    1                                        
Thursday, 26 June 2025    1    2    12    9    6    15    6    0    0    0    0                4    0                                        
Friday, 27 June 2025    0    0    0    0    0    0    0    0    0    0    0                0    0                                        
Monday, 30 June 2025    11    8    12    20    11    31    9    0    6    0    1                4    2                                        
Tuesday, 1 July 2025    4    4    0    5    3    8    0    0    4    0    2                1    0                                        
Wednesday, 2 July 2025    0    0    0    0    0    0    0    0    0    0    0                0    0                                        
Thursday, 3 July 2025    5    5    0    8    2    10    3    0    3    0    1                2    0                                        
Friday, 4 July 2025    1    13    31    25    20    45    18    0    1    0    1                4    3                                        
Monday, 7 July 2025    11    5    12    14    14    28    7    0    5    0    0                2    2                                        
Tuesday, 8 July 2025    4    13    10    17    10    27    7    0    6    2    0                2    0                                        
Wednesday, 9 July 2025    1    5    10    7    9    16    5    1    0    0    0                1    1                                        
Thursday, 10 July 2025    2    8    8    9    9    18    3    0    3    0    1                1    3                                        
Friday, 11 July 2025    1    6    12    6    13    19    3    0    0    0    0                2    5                                        
Monday, 14 July 2025    11    5    2    14    4    18    1    1    10    1    0                2    0                                        
Tuesday, 15 July 2025    13    4    1    15    3    18    2    2    7    1    0                3    0                                        
Wednesday, 16 July 2025    5    3    18    18    8    26    10    0    3    0    2                4    1                                        
Thursday, 17 July 2025    6    7    17    21    9    30    11    0    7    0    1                1    0                                        
Friday, 18 July 2025    0    0    0    0    0    0    0    0    0    0    0                0    0                                        
Monday, 21 July 2025    2    2    13    10    7    17    6    0    1    0    0                1    3                                        
Tuesday, 22 July 2025    0    5    10    9    6    15    6    0    1    0    0                2    0                                        
Wednesday, 23 July 2025    7    4    10    11    10    21    7    2    2    0    0                1    3                                        
Thursday, 24 July 2025    8    5    6    14    5    19    9    1    2    0    0                1    4                                        
Friday, 25 July 2025    0    1    1    1    1    2    1    0    0    0    0                0    1                                        
Monday, 28 July 2025    12    7    11    15    15    30    5    1    1    0    0                5    1                                        
Tuesday, 29 July 2025    1    4    5    4    6    10    1    0    0    0    0                3    0                                        
Wednesday, 30 July 2025    4    4    5    8    5    13    4    0    2    0    0    0        0    1    0    0    1    0    0    0    1                
Thursday, 31 July 2025    2    5    10    7    10    17    5    0    1    0    0    0        0    0    1    1    0    0    0    0    0                
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam                
Friday, 1 August 2025    3    2    14    11    8    19    7    0    0    0    1    0        2    4    0    0    0    0    1    0    0                
Monday, 4 August 2025    11    3    2    11    5    16    2    4    1    0    0    0    9    0    1    1    0    0    1    2    0    0                
Tuesday, 5 August 2025    2    6    9    15    2    17    10    0    2    0    1    0    0    0    0    0    0    1    0    0    1    0                
Wednesday, 6 August 2025    7    2    5    11    3    14    2    0    7    0    0    0    0    0    1    0    0    0    0    0    0    0                
Thursday, 7 August 2025    1    2    19    10    12    22    7    0    1    0    1    0    0    0    1    1    0    0    0    0    0    0                
Friday, 8 August 2025    3    1    16    10    10    20    7    1    1    0    0    0    0    1    0    0    0    0    0    0    0    0                
Monday, 11 August 2025    13    9    21    29    14    43    16    0    8    1    0    1    11    1    0    0    0    1    0    1    0    0                
Tuesday, 12 August 2025    3    3    5    6    5    11    0    0    3    0    0    0    0    9    1    2    0    0    0    1    0    0                
Wednesday, 13 August 2025    1    1    19    11    10    21    11    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0                
Thursday, 14 August 2025    4    3    10    9    8    17    3    0    4    0    1    0    0    1    0    1    0    0    0    0    0    1                
Friday, 15 August 2025    1    0    1    2    0    2    0    0    1    0    0    0    0    0    1    0    0    0    0    0    0    1                
Monday, 18 August 2025    3    1    0    2    2    4    0    0    2    0    0    0    0    1    0    0    0    0    0    0    0    1                
Tuesday, 19 August 2025    4    3    3    8    2    10    3    0    2    1    0    0    0    9    0    0    0    0    0    1    0    1                
Wednesday, 20 August 2025    2    0    27    18    12    30    13    0    1    0    0    0    0    8    0    2    1    0    0    0    0    1                
Thursday, 21 August 2025    1    0    1    2    0    2    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0    1                
Friday, 22 August 2025    3    1    7    9    2    11    4    0    1    0    1    0    0    1    0    1    0    0    0    0    0    0                
Monday, 25 August 2025    14    6    1    12    9    21    5    0    3    0    0    0    0    0    0    0    0    3    0    1    0    0                
Tuesday, 26 August 2025    1    5    11    6    11    17    4    0    0    0    0    0    9    0    0    0    0    1    0    1    0    0                
Wednesday, 27 August 2025    4    3    10    11    6    17    7    0    3    0    0    0    0    1    0    0    0    0    0    0    0    1                
Thursday, 28 August 2025    3    5    4    4    8    12    1    0    1    0    1    0    2    0    0    1    0    1    0    0    0    1                
Friday, 29 August 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1                
Monday, 1 September 2025    6    6    16    14    14    28    10    0    3    0    1    0    1    0    0    2    1    1    0    1    0    0                
Tuesday, 2 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    7    0    0    0    0    0    0    0    0    0                
Wednesday, 3 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Thursday, 4 September 2025    5    6    14    17    8    25    5    0    0    0    1    0    0    2    1    2    1    3    0    3    0    0                
Friday, 5 September 2025    2    1    34    21    16    37    13    1    1    0    0    0    0    2    0    2    1    0    0    1    0    1                
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam                
Monday, 8 September 2025    8    0    11    7    12    19    2    0    2    0    0    0    1    0    0    0    0    2    0    1    0    0                
Tuesday, 9 September 2025    0    0    1    1    0    1    1    0    0    0    0    0    5    0    0    0    0    0    0    0    0    0                
Wednesday, 10 September 2025    2    2    15    8    11    19    6    0    0    0    1    0    1    0    0    2    0    0    0    0    0    0                
Thursday, 11 September 2025    4    1    1    3    3    6    0    0    3    0    0    0    2    0    0    0    0    0    0    0    0    0                
Friday, 12 September 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam                
Monday, 15 September 2025    11    5    1    8    9    17    1    0    3    0    0    0    0    0    0    1    0    1    0    2    0    1                
Tuesday, 16 September 2025    3    7    20    17    13    30    11    0    2    0    0    0    11    0    1    0    2    0    0    0    0    0                
Wednesday, 17 September 2025    0    5    14    11    9    20    8    0    2    0    1    0    1    0    0    1    0    0    0    0    0    0                
Thursday, 18 September 2025    2    3    7    5    7    12    1    0    1    0    0    3    2    0    0    1    0    0    0    0    0    0                
Friday, 19 September 2025    1    2    8    5    6    11    3    0    1    0    0    0    0    0    0    2    0    0    0    0    0    0                
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam                
45922    4    8    11    10    13    23    4    0    1    0    0    2    1    0    0    0    1    1    0    2    0    0                
45923    3    3    5    5    6    11    2    0    1    0    0    0    6    0    0    0    2    0    0    0    0    0                
45924    4    8    0    5    7    12    2    0    2    0    0    0    0    0    0    0    0    0    0    1    0    0                
45925    3    3    18    12    12    24    8    0    2    0    0    0    1    1    0    3    0    0    0    1    0    0                
45926    2    1    0    1    2    3    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0                
Monday, 29 September 2025    5    12    3    10    10    20    4    0    3    0    0    0    2    0    1    1    1    1    0    0    0    0                
Tuesday, 30 September 2025    0    0    1    1    0    1    0    0    0    1    0    0    5    0    0    0    0    0    0    0    0    0                
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam                
Wednesday, 1 October 2025    5    6    0    5    6    11    2    0    2    0    0    0    0    0    0    2    0    1    0    0    0    0                
Thursday, 2 October 2025    1    6    9    8    8    16    5    0    2    0    0    0    1    0    0    3    0    0    0    1    0    0                
Friday, 3 October 2025    0    2    17    5    14    19    2    0    0    0    0    0    5    1    0    5    3    0    0    1    0    0                
Monday, 6 October 2025    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0                
Tuesday, 7 October 2025    10    3    1    9    5    14    1    0    5    0    0    2    0    0    0    0    0    1    0    0    1    0                
Wednesday, 8 October 2025    2    3    0    3    2    5    0    0    2    0    0    0    0    0    0    0    0    0    1    0    0    0                
Thursday, 9 October 2025    0    1    0    1    0    1    0    0    0    0    0    0    1    0    1    0    0    0    0    0    0    0                
Friday, 10 October 2025    9    4    0    12    1    13    1    0    8    1    0    2    2    0    1    0    0    1    0    1    0    0                
Monday, 13 October 2025    2    0    0    2    0    2    1    0    1    0    0    0    2    0    0    0    0    0    0    0    0    0                
Tuesday, 14 October 2025    2    6    27    11    22    33    7    0    1    0    0    4    1    1    0    3    2    0    0    2    0    0                
Wednesday, 15 October 2025    2    0    0    1    1    2    0    0    1    0    0    0    3    0    0    0    0    0    0    0    0    0                
Thursday, 16 October 2025    0    0    9    4    5    9    2    0    0    0    0    0    1    2    0    0    0    0    0    0    0    0                
Friday, 17 October 2025    4    2    1    3    4    7    0    0    1    0    0    0    6    0    1    0    1    1    0    0    0    0                
Monday, 20 October 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Tuesday, 21 October 2025    0    0    0    0    0    0    0    0    0    0    0    0    2    0    0    0    0    0    0    0    0    0                
Wednesday, 22 October 2025    9    1    0    8    2    10    1    0    4    0    0    0    2    0    0    0    0    1    0    1    0    1                
Thursday, 23 October 2025    3    3    0    2    4    6    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0                
Friday, 24 October 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Monday, 27 October 2025    7    1    0    2    6    8    0    0    1    0    0    0    1    0    0    1    0    3    0    2    0    0                
Tuesday, 28 October 2025    0    0    0    0    0    0    0    0    0    0    0    0    4    0    0    0    0    0    0    0    0    0                
Wednesday, 29 October 2025    3    0    0    3    0    3    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0                
Thursday, 30 October 2025    1    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    1    0    0    0    0    0                
Friday, 31 October 2025    3    4    15    11    11    22    6    0    1    0    0    0    1    2    1    2    0    0    0    0    0    1                
Monday, 3 November 2025    7    5    17    13    16    29    7    0    5    0    0    0    0    1    0    2    0    1    0    0    0    0                
Tuesday, 4 November 2025    9    0    0    7    2    9    1    0    3    0    0    0    8    0    0    0    0    3    0    0    0    0                
Wednesday, 5 November 2025    4    5    5    8    6    14    2    0    1    0    0    0    0    1    0    1    0    2    0    3    0    0                
Thursday, 6 November 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Friday, 7 November 2025    1    0    0    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0                
Monday, 10 November 2025    7    3    0    7    3    10    1    0    5    0    0    0    4    1    0    0    0    0    0    0    0    0                
Tuesday, 11 November 2025    0    0    0    0    0    0    0    0    0    0    0    0    13    0    0    0    0    0    0    0    0    0                
Wednesday, 12 November 2025    6    5    1    7    5    12    2    0    3    0    0    0    0    0    0    0    2    1    0    1    0    0                
Thursday, 13 November 2025    2    4    0    1    5    6    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0                
Friday, 14 November 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Monday, 17 November 2025    15    6    1    13    9    22    3    0    5    0    0    0    0    0    1    0    0    3    0    3    0    0                
Tuesday, 18 November 2025    2    4    18    10    14    24    7    0    0    0    0    0    6    0    1    6    0    1    1    0    0    1                
Wednesday, 19 November 2025    4    3    8    8    7    15    4    0    1    0    0    0    1    2    0    0    0    0    0    1    0    0                
Thursday, 20 November 2025    3    5    0    1    7    8    0    0    1    0    0    0    0    0    0    2    0    0    0    1    0    0                
Friday, 21 November 2025    2    6    8    5    11    16    1    0    1    0    0    0    0    0    0    2    1    0    0    2    0    0                
Monday, 24 November 2025    4    3    0    2    5    7    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Tuesday, 25 November 2025    3    4    0    3    4    7    0    0    1    0    0    0    5    0    0    3    0    0    1    1    0    1                
Wednesday, 26 November 2025    5    4    7    14    2    16    6    0    4    0    0    0    2    0    0    0    0    1    0    3    0    0                
Thursday, 27 November 2025    2    0    0    2    0    2    0    0    1    0    0    0    0    0    0    0    0    1    0    0    0    0                
Friday, 28 November 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam                
Monday, 1 December 2025    0    0    1    0    1    1    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0                
Tuesday, 2 December 2025    14    0    1    9    6    15    0    0    6    0    0    1    1    0    0    0    0    0    1    1    0    0                
Wednesday, 3 December 2025    6    5    0    8    3    11    3    0    3    0    0    0    0    0    0    0    0    1    0    0    0    1                
Thursday, 4 December 2025    2    3    0    2    3    5    0    0    0    0    0    0    1    0    0    0    0    1    0    1    0    0                
Friday, 5 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    8    0    0    0    0    0    0    0    0    0                
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam                
Monday, 8 December 2025    18    2    1    9    12    21    3    0    6    0    0    0    0    0    0    0    0    0    0    1    0    0                
Tuesday, 9 December 2025    3    10    0    2    11    13    0    0    2    0    0    0    7    0    0    0    0    2    0    1    0    0                
Wednesday, 10 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Thursday, 11 December 2025    10    0    0    6    4    10    0    0    4    0    0    0    0    0    0    0    0    2    0    0    0    0                
Friday, 12 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Monday, 15 December 2025    11    11    0    11    11    22    4    0    5    0    0    0    1    0    0    3    0    2    0    2    0    0                
Tuesday, 16 December 2025    5    9    0    8    6    14    4    0    4    0    0    0    6    0    0    3    0    0    0    0    0    0                
Wednesday, 17 December 2025    0    9    0    7    1    8    3    0    1    0    0    0    0    0    1    1    0    0    0    2    0    0                
Thursday, 18 December 2025    0    4    0    4    0    4    1    0    0    0    0    3    0    0    0    0    0    0    0    0    0    0                
Friday, 19 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Monday, 22 December 2025    0    1    0    1    0    1    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0                
Tuesday, 23 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    8    0    0    0    0    0    0    0    0    0                
Wednesday, 24 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Thursday, 25 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Friday, 26 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Monday, 29 December 2025    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0                
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Rough Figures Sent    Site Visit Booked    Passed Onto Jesse    Verbal Confirmation    Rescheduled Site Visit    Quote Sent    Lost - Price    Lost - Time Related    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam                
Monday, 5 January 2026    20    4    0    12    12    24    2    1    6    0    0    0    0    0    0    0    0    1    0    2    0    0                
Tuesday, 6 January 2026    12    0    0    10    2    12    1    0    4    0    0    0    1    0    0    0    0    2    1    1    0    0                
Wednesday, 7 January 2026    4    1    0    4    1    5    0    0    2    0    0    0    0    0    0    0    0    1    0    1    0    0                
Thursday, 8 January 2026    26    3    0    15    14    29    0    0    8    0    0    0    2    0    0    0    1    2    0    4    0    1                
