Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Monday, 23 June 2025    14    4    0    6    12    18    2    4    0    0    0    0            0    1                        
Tuesday, 24 June 2025    3    9    0    7    5    0    1    5    0    0    0    0            2    0                        
Wednesday, 25 June 2025    2    13    0    6    9    15    1    5    0    0    0    0            1    1                        
Thursday, 26 June 2025    4    5    4    4    9    13    2    1    1    0    0    0            1    2                        
Friday, 27 June 2025    0    0    0    0    0    0    0    0    1    0    0    0            0    0                        
Monday, 30 June 2025    14    4    2    11    10    21    0    6    0    0    2    0            4    4                        
Tuesday, 1 July 2025    1    3    2    2    4    6    1    0    0    0    0    3            0    1                        
Wednesday, 2 July 2025    0    0    0    0    0    0    0    0    0    0    0    2            0    0                        
Thursday, 3 July 2025    0    0    0    0    0    0    0    0    0    0    0    2            0    0                        
Friday, 4 July 2025    9    1    0    8    2    10    2    4    3    0    1    0            0    2                        
Monday, 7 July 2025    5    0    0    4    1    21    0    4    1    0    1    0            0    0                        
Tuesday, 8 July 2025    1    4    4    8    1    9    2    1    3    2    2    0            0    2                        
Wednesday, 9 July 2025    11    0    0    8    3    11    1    3    2    0    1    0            3    1                        
Thursday, 10 July 2025    3    4    5    6    6    12    0    2    5    1    0    0            3    0                        
Friday, 11 July 2025    2    4    3    6    4    10    2    1    2    1    1    0            0    1                        
Monday, 14 July 2025    17    5    0    12    10    22    2    6    1    0    1    0            2    0                        
Tuesday, 15 July 2025    1    10    0    4    7    11    2    2    6    0    0    0            0    0                        
Wednesday, 16 July 2025    1    6    1    4    4    8    2    0    3    0    0    1            1    0                        
Thursday, 17 July 2025    2    0    0    2    0    2    0    0    0    0    0    0            2    0                        
Friday, 18 July 2025    0    0    0    0    0    0    0    0    0    0    0    0            0    0                        
Monday, 21 July 2025    22    11    0    15    18    33    5    8    3    0    0    0            2    5                        
Tuesday, 22 July 2025    4    13    1    9    9    18    3    4    6    0    2    0            0    0                        
Wednesday, 23 July 2025    2    12    0    5    9    14    1    2    5    0    1    0            1    1                        
Thursday, 24 July 2025    4    9    1    7    7    14    0    3    0    0    1    0            3    4                        
Friday, 25 July 2025    0    1    0    1    0    1    0    1    8    0    0    0            0    0                        
Monday, 28 July 2025    11    2    0    3    10    13    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0
Tuesday, 29 July 2025    6    12    1    10    9    19    2    7    3    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 30 July 2025    1    0    0    1    0    1    0    0    8    0    0    0    1    0    0    0    0    0    0    0    0    0
Thursday, 31 July 2025    1    5    1    5    2    7    1    4    6    0    0    0    0    0    0    0    0    0    0    0    0    0
Date    New Leads     Pre-Quote Follow Up    Post-Quote Follow Up    Answered    Didn't Answer    Total Calls    Not Ready Yet    Requires Quoting    Quote Sent    Site Visit Booked    Passed Onto Jed    Verbal Confirmation    Rescheduled Site Visit    Lost - Price    Lost - Time Ralted    Abandoned - Not Responding    Abandoned - Headache    Disqualified - Out of Service Area    Disqualified - Price    Disqualified - Extent of Works    Disqualified - Wrong Contact/Number    Disqualified - Spam
Friday, 1 August 2025    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 4 August 2025    14    8    0    9    13    22    3    4    1    0    0    0    0    0    0    2    0    0    0    1    1    1
Tuesday, 5 August 2025    6    1    0    6    1    7    1    4    7    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 6 August 2025    1    1    1    3    0    3    0    2    3    0    0    1    0    0    1    0    0    0    0    0    0    0
Thursday, 7 August 2025    4    8    0    7    5    12    1    5    6    0    1    0    0    0    0    0    0    0    0    0    0    0
Friday, 8 August 2025    3    4    1    5    3    8    0    4    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 11 August 2025    15    11    3    19    10    29    4    11    7    0    0    1    0    0    1    0    0    0    0    1    0    0
Tuesday, 12 August 2025    1    1    0    1    1    2    0    1    10    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 13 August 2025    6    10    0    2    14    16    1    2    2    0    0    0    0    0    0    0    0    0    0    0    0    0
Thursday, 14 August 2025    4    13    0    6    11    17    2    2    4    0    0    0    0    0    0    1    1    0    0    0    1    1
Friday, 15 August 2025    0    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 18 August 2025    7    0    0    7    0    7    0    5    0    0    1    0    0    0    0    0    0    0    0    1    0    0
Tuesday, 19 August 2025    9    9    0    7    11    18    2    3    5    0    0    0    0    0    0    3    0    0    0    1    0    0
Wednesday, 20 August 2025    0    10    0    6    4    10    1    3    7    0    0    0    0    0    0    2    0    0    0    1    0    0
Thursday, 21 August 2025    0    3    0    1    2    3    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0
Friday, 22 August 2025    10    3    0    7    6    13    2    3    2    0    0    0    0    0    0    0    0    1    0    0    1    0
Monday, 25 August 2025    9    0    1    8    2    10    2    2    4    0    0    0    0    0    0    0    0    0    0    3    0    2
Tuesday, 26 August 2025    0    1    0    0    1    1    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0
Wednesday, 27 August 2025    4    6    1    6    5    11    1    4    2    0    0    0    0    0    0    3    0    0    0    1    0    0
Thursday, 28 August 2025    3    4    0    3    4    7    0    3    2    0    0    0    0    0    0    0    0    0    0    0    0    0
Friday, 29 August 2025    1    0    0    0    1    1    0    0    4    0    0    0    0    0    0    0    0    0    0    0    0    0
Monday, 1 September 2025    14    7    2    9    14    23    0    8    4    0    0    0    1    0    0    3    0    0    0    0    1    0
Tuesday, 2 September 2025    0    0    0    0    0    0    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0
