Client    Date    Type    Client invoice no (WHMCS)    Invoiced amount with GST    GST    Payment captured    Invoice no (hr.)    Amount    hr. invoice amount (-stripe)    Status    Comments    Quote Value (Subtotal)    Commission %    Total (%)    Total Minimum    Commission $    Total Commission Description
Virtue Roofing    11/09/2025    Retainer    10782    $500.00    included    Captured    380415    $500.00    $482.00    Paid    September - Retainer
Virtue Roofing    11/10/2025    Retainer    10872    $500.00    included    Captured    470363    $500.00    $482.00    Paid    October - Retainer
Virtue Roofing    16/10/2025    Comms    10990    $1,738.96    $158.09    Captured    825913    $1,580.87    $1,469.10    Paid    Jenny Frigo
Virtue Roofing    30/10/25    Comms    11068    $1,045.00    $95.00    Captured    102153    $950.00    $915.80    Paid    VIR - Comms - Phill
Virtue Roofing    11/11/2025    Retainer    11063    $500.00    included    Captured    960597    $500.00    $482.00    Paid    November - Retainer - Virtue Roofing - 11/11/25
Virtue Roofing    11/12/2025    Comms    11351    $1,589.26    $144.48    Captured    573389    $1,444.78    $1,392.77    Paid    11351 - VIR COMMS - Bruce Meakins - 71 Millcrest Street Scarborough WA 6019 - $72238.95 x 2% = $1444.78 w. min of $1250 = $1444.78 + GST = $1589.26    $72,238.95    2.00%    $1,444.78    $1,250.00    $1,444.78    $72238.95 x 2% = $1444.78 w. min of $1250 = $1444.78 + GST = $1589.26
Virtue Roofing    12/12/2025    Retainer    11261    $500.00    included    Captured    353297    $500.00    $482.00    Paid    December - Retainer - Virtue Roofing - 11/11/25
Virtue Roofing    26/12/25    Comms    11422    $1,685.92    $153.27    Captured    787894    $1,532.65    $1,477.48    Paid    11422 - VIR COMMS - Natasha Beattie - 16 Ridgehaven Ramble - $76632.65 x 2% = $1532.65 w. min of $1250 = $1532.65 + GST = $1685.92    $76,632.65    2.00%    $1,532.65    $1,250.00    $1,532.65    $76632.65 x 2% = $1532.65 w. min of $1250 = $1532.65 + GST = $1685.92
Virtue Roofing    26/12/25    Comms    11428    $1,375.00    $125.00    Captured    016734    $1,250.00    $1,205.00    Paid    11428 - VIR COMMS - Myles Hollingworth - 91 Todd Avenue - $52439.4 x 2% = $1048.79 w. min of $1250 = $1250 + GST = $1375    $52,439.40    2.00%    $1,048.79    $1,250.00    $1,250.00    $52439.4 x 2% = $1048.79 w. min of $1250 = $1250 + GST = $1375
Virtue Roofing    26/12/25    Comms    11429    $1,402.22    $127.47    Captured    748895    $1,274.75    $1,228.86    Paid    11429 - VIR COMMS - Lisa and Brian Helenius - 10 Bussell Road - $63737.39 x 2% = $1274.75 w. min of $1250 = $1274.75 + GST = $1402.22    $63,737.39    2.00%    $1,274.75    $1,250.00    $1,274.75    $63737.39 x 2% = $1274.75 w. min of $1250 = $1274.75 + GST = $1402.22
Virtue Roofing    22/1/26    Comms    11593    $1,654.79    $150.44    Captured    128643    $1,504.35    $1,450.20    Paid    11593 - VIR COMMS - Angeline Emery - 8 Michael Crescent Boya WA 6056 - $75217.6 x 2% = $1504.35 w. min of $1250 = $1504.35 + GST = $1654.79    $75,217.60    2.00%    $1,504.35    $1,250.00    $1,504.35    $75217.6 x 2% = $1504.35 w. min of $1250 = $1504.35 + GST = $1654.79
Virtue Roofing    23/01/2026    Retainer    11440    $500.00    included    Captured    363046    $500.00    $482.00    Paid    January - Retainer - Virtue Roofing - 22/1/25 (delayed)
Virtue Roofing    05/02/2026    Comms    11671    $1,375.00    $125.00    Captured    55359    $1,250.00    $1,205.00    Paid    11671 - VIR COMMS - Pete O'Keeffe - 12 Lynton st Doubleview 6018 - $51280 x 2% = $1025.6 w. min of $1250 = $1250 + GST = $1375    $51,280.00    2.00%    $1,025.60    $1,250.00    $1,250.00    $51280 x 2% = $1025.6 w. min of $1250 = $1250 + GST = $1375
Virtue Roofing    10/02/2026    Comms    11700    $1,375.00    $125.00    Captured    558195    $1,250.00    $1,205.00    Paid    11700 - VIR COMMS - Ryan Jones - 243 Preston Point Road - $54200 x 2% = $1084 w. min of $1250 = $1250 + GST = $1375    $54,200.00    2.00%    $1,084.00    $1,250.00    $1,250.00    $54200 x 2% = $1084 w. min of $1250 = $1250 + GST = $1375
Virtue Roofing    10/02/2026    Comms    11701    $2,200.00    $200.00    Captured    184316    $2,000.00    $1,928.00    Paid    11701 - VIR COMMS - Deborah Morison - 55 Branksome Gardens - $123190.36 x 1.4% = $1724.67 w. min of $2000 = $2000 + GST = $2200    $123,190.36    1.40%    $1,724.67    $2,000.00    $2,000.00    $123190.36 x 1.4% = $1724.67 w. min of $2000 = $2000 + GST = $2200
Virtue Roofing    12/02/2026    Retainer    11619    $500.00    included    Captured    883333    $500.00    $482.00    Paid    February- Retainer - Virtue Roofing - 12/2/25
Virtue Roofing    10/03/2026    Comms    11882    $1,219.00    $110.82    Captured    189584    $1,108.18    $1,068.29    Paid    11882 - VIR COMMS - Matt Stokes - 27 Bourne St - $44327.18 x 2.5% = $1108.18 w. min of $950 = $1108.18 + GST = $1219    $44,327.18    2.50%    $1,108.18    $950.00    $1,108.18    $44327.18 x 2.5% = $1108.18 w. min of $950 = $1108.18 + GST = $1219
Virtue Roofing    10/03/2026    Comms    11883    $1,263.08    $114.83    Captured    897439    $1,148.26    $1,106.92    Paid    11883 - VIR COMMS - Rhiannon - 1/85 Leeds Street - $45930.26 x 2.5% = $1148.26 w. min of $950 = $1148.26 + GST = $1263.08    $45,930.26    2.50%    $1,148.26    $950.00    $1,148.26    $45930.26 x 2.5% = $1148.26 w. min of $950 = $1148.26 + GST = $1263.08
